first/name,last/name,address,date
Blanche Graves,Lula Cobb,1084 Depfoh Way,11/02/1925
Phillip Price,Henrietta Owen,562 Zukge Parkway,09/18/1985
Elva Moreno,Sylvia Miles,1526 Bofve Street,08/21/1950
Ralph Welch,Henrietta Hart,520 Asfe Point,02/16/2052
Herbert Reese,Joseph Hill,1188 Diwoza Highway,05/29/2058
Betty Estrada,Kyle Benson,1741 Rijlu Loop,09/15/1922
Christopher McKinney,Tony Ruiz,965 Fofa Parkway,08/12/2047
Alberta Fox,Jeanette Vaughn,1102 Sivom Mill,11/08/2033
Minerva Sherman,Evan Willis,1023 Wigvo River,11/27/1964
Martin Delgado,Edgar Fields,1854 Kumu Parkway,01/23/1990
Ivan Jackson,Gussie Bennett,1539 Gaan Court,03/27/1951
Cole Roy,Jack Hoffman,1008 Jokbu Place,05/21/2070
Lola Burton,Linnie Hubbard,1031 Adbe Ridge,12/21/1990
Frederick Spencer,Bernard Sanchez,1412 Biis Grove,05/10/1967
Jimmy Myers,Randall Coleman,1298 Asih Square,03/02/2034
Carrie Rodgers,Nellie Bryant,227 Fesap Avenue,03/15/2048
Josie Hayes,Stella Morris,782 Jacvoz Terrace,09/27/1951
William Romero,Tommy Higgins,653 Hebzod Extension,10/14/2050
Bettie White,Lois Kelly,1121 Ethag Manor,05/25/2056
Roxie Gonzalez,Ernest Klein,759 Ocive River,02/25/1980
Daniel Campbell,Polly Price,1381 Zaic Plaza,03/20/2016
Mark Willis,Sam Welch,1930 Pibdov Boulevard,08/05/1959
Belle Hart,Barbara Massey,124 Wikan Path,10/04/1932
Paul Burgess,Micheal Jones,1718 Beac Highway,08/05/2032
Carl Johnston,Duane Hill,865 Necu River,05/15/1958
Peter Kelley,Lou Sherman,939 Miwa Boulevard,01/05/1992
Claudia Cooper,Estella Patrick,1565 Nufgu Road,05/23/2029
Charlie Ferguson,Violet Lopez,1685 Zedzaz Road,10/22/1989
Bradley Ballard,Etta Cain,854 Wokmen Pike,02/16/1935
Sadie Oliver,Marian Joseph,374 Fawub Loop,07/13/1972
Aiden Mathis,Connor Fitzgerald,819 Vibbip Terrace,09/02/2045
Bradley Anderson,Johnny Glover,1823 Hofjob Lane,11/11/2038
Myrtle Graham,Hilda Gardner,553 Wemepo Ridge,02/19/1973
Augusta Flores,Jerome Crawford,1541 Ickec Lane,08/24/2043
