first/name,last/name,address,date
Eleanor Conner,Loretta Roy,484 Jarom Avenue,12/12/1977
Phoebe Caldwell,Mae Dennis,56 Tabgib Parkway,06/19/1920
Emilie Garner,Lucille Fletcher,929 Temsej Street,04/22/1971
Aaron Norton,Virgie Nelson,1764 Mogazu View,06/30/1909
Lucille Lloyd,Polly Lewis,477 Ruza Square,12/23/2045
Warren Ortega,Eva Logan,1739 Copjet Trail,04/08/1926
Dennis Craig,Catherine Tran,1729 Pudu Park,12/10/2009
Chester Sims,Peter Hoffman,378 Tira Road,03/17/1931
Abbie Frazier,Isaiah Obrien,1432 Ivaavu Grove,05/09/1945
Christine Summers,Roy Peters,750 Usesi Place,02/05/1917
Augusta Cole,Lula McCormick,1128 Owuri Turnpike,04/03/1966
Georgia Harper,Micheal Morrison,1111 Helrut Center,03/03/2005
Cory Kelley,Cordelia Rowe,1296 Koflab Court,04/12/2008
Maud Cooper,Edwin Roberts,1728 Itubu Terrace,06/12/1923
Noah Gray,Hannah Goodman,623 Voib Place,07/16/2027
Victor Thompson,Lena Bell,598 Pijaj Extension,02/19/1903
Jean Holloway,Susan Wagner,485 Afdu Road,08/04/1930
Sam Ingram,Susie Shelton,76 Lewa Glen,02/06/2053
Marguerite Douglas,Charlie Mitchell,986 Puhji Drive,12/03/1901
Emma Reid,Lucille Ford,751 Sajiv Way,04/22/1962
Frances Palmer,Pauline Rhodes,1022 Revu Avenue,12/31/1955
Samuel Phillips,Lily Stanley,1932 Utikaj Ridge,05/04/2021
Stella Curry,Luis Haynes,275 Fenkit Glen,06/04/1931
Celia Phillips,Hilda Wells,366 Sumo Terrace,05/31/1950
Jane Carroll,Daisy Harvey,1447 Murovo Street,05/13/1905
Bruce Ross,Harriet Byrd,979 Suzpef Trail,04/11/1991
Alma Bailey,Marguerite Wood,1462 Boot Street,02/22/1920
Mollie Nichols,Jerome Porter,670 Cugiv Drive,04/08/2059
Josephine Pierce,Laura Coleman,353 Ojuk Road,08/25/1953
Hulda Snyder,Leila Walsh,1295 Rulmo Junction,06/08/1982
Mark Pittman,Jane Barnes,236 Gacvep Square,06/13/1921
Johnny McLaughlin,Jesse Parker,1869 Gafu Drive,06/26/1941
Chase Gibson,Joe Newman,185 Duwsu Square,07/23/1946
Douglas Rodgers,Barry Lucas,1457 Cotuh River,04/15/2001
Abbie Dawson,Ada Benson,1204 Soho Center,02/22/2009
Shawn Brown,Bill Woods,123 Esoafe Mill,07/06/2066
Willie Harmon,Miguel Lawson,507 Lana Court,12/11/1990
Gene Parks,Hester Rogers,698 Onior Street,01/04/1996
Laura Jordan,Brent Jenkins,1335 Vomji Center,03/06/1933
Minerva Nichols,Mabelle Hamilton,1646 Guvkom Manor,12/13/2064
Frederick Kelly,Jonathan Simmons,558 Kajhag Point,11/30/1956
Jeff Dunn,Agnes Curry,1780 Fovap Circle,06/19/2053
Jackson Turner,Ronald Jordan,1765 Teza River,10/08/1942
Elijah Morton,Floyd Hicks,1382 Taaho Highway,03/17/1952
Adam Allison,Lillie Hicks,787 Nevoj Lane,02/02/1987
Louis Fletcher,Ryan Castro,507 Pucun Pass,10/05/2023
Alexander Cross,Elsie Welch,262 Abowag Pike,10/22/1951
Phoebe Richardson,Katie Burke,1790 Jaet Point,01/09/1941
Dollie Bridges,Hettie Lowe,10 Mitlej Turnpike,02/04/2010
Leo Morris,Louis Haynes,468 Tuzre River,12/11/1945
Bruce Watts,Caroline Craig,984 Uhote Glen,09/26/2058
Rose Turner,Edna Murray,410 Emsa Road,09/02/2033
Robert Bailey,Bobby Rodriquez,1285 Hiwle Junction,03/15/2041
Paul Lowe,Nelle Tran,432 Zasis Junction,08/25/2070
Blake Ward,Chris Castillo,1290 Tumcus Highway,03/14/1908
Jerry Howard,Alta Black,1374 Utuulu Key,06/03/2003
Susie Higgins,Roy Wilkins,480 Kedvun Turnpike,12/01/1998
Lucille Huff,Katharine Curry,103 Tadu Way,02/20/1979
James Henry,Steven Chandler,1159 Hotri Street,04/16/1947
Lewis Todd,Marcus Swanson,1039 Cisin Parkway,01/23/1982
Harold Hawkins,Gussie Newman,743 Osobo Point,09/27/2056
Sophia Martinez,Lawrence Marsh,1904 Zuhif Road,09/23/1942
Callie Luna,Violet Vega,702 Fuohu Court,02/05/1991
Corey Peters,Eugene Cross,851 Zisti Glen,07/19/2064
Lillie Perry,Antonio Montgomery,525 Biew Highway,03/05/2037
Linnie Keller,Jeff Salazar,1985 Susa Avenue,11/08/2023
Alice Rhodes,Phillip Oliver,1115 Ziur Court,12/12/2053
Philip Snyder,Sean Sandoval,172 Dutiki Park,07/16/1915
Jerry Miles,Betty Summers,1426 Jucu Junction,10/20/1906
Clarence Lopez,Samuel Byrd,491 Lazpan Junction,02/02/1967
Lucille Greer,Christian Butler,1995 Kavup Manor,11/13/2046
Myrtle Baker,Clarence Bowen,1637 Mujmir Way,04/18/2062
Jeffery Robbins,Eula McKinney,728 Jogop Extension,04/08/2070
Max Washington,Trevor Tate,1777 Vueda Road,03/27/1996
Cynthia Mendez,Alfred Crawford,1751 Imeri Court,08/18/1974
Grace Cobb,Lilly Mullins,119 Zimi Drive,06/20/2070
Augusta Duncan,Corey Norman,1201 Akori Avenue,04/26/2035
Etta Yates,Miguel Warren,546 Kemam Place,01/02/1964
Ray Phelps,Anne Reynolds,960 Agekid Manor,04/03/1909
Victor Richards,Warren Harrison,1392 Ihuip View,09/21/2033
Eliza Paul,Bettie McDaniel,980 Riwinu Terrace,12/29/1907
Chad Scott,Steven Campbell,512 Vuwav Junction,12/30/2020
Rosalie Hampton,Ricardo Sullivan,417 Fuva River,03/24/2027
William Howard,Adelaide McLaughlin,1738 Adha Road,12/04/2024
Winifred Fisher,Lena Aguilar,1920 Suztez Center,12/18/1960
Adele Rogers,Pauline Fernandez,859 Bobnu View,02/08/1960
Jesse Fitzgerald,Ollie Hubbard,1159 Kupaf View,02/22/2069
Ryan Dawson,Julian Marsh,999 Bawne Extension,03/15/2008
Walter Beck,Micheal Perkins,380 Otuli Plaza,04/08/1971
Albert Hunt,Mario Curtis,1187 Girof Place,01/07/1929
Lucy Klein,Ian Schwartz,17 Vajaw View,07/12/2045
Nora Harvey,Angel Valdez,1800 Wutog Key,09/27/2069
Theodore Cook,Clyde Powell,1425 Alna View,10/11/1914
Jerome Obrien,Maurice Abbott,1346 Hizaw Road,07/28/1940
Augusta Potter,Jose Buchanan,1452 Zujew Place,04/18/2028
Seth Morales,Keith Hayes,1437 Woza View,09/25/2044
Carrie May,Earl Hall,1469 Jarpe Heights,10/02/2063
Charles Rios,Matilda Johnston,1496 Uvaseh Terrace,04/17/1958
Lina Lopez,Ian Parks,665 Lape Parkway,10/28/1910
Jane Parks,Bruce Ortega,1824 Gotiw Parkway,11/19/1945
Alan Stevenson,Sean Bryant,987 Dapifo Center,09/18/2018
Lucas Benson,Iva Fleming,949 Jofsa Plaza,03/27/2067
Maude Schultz,Connor Patton,952 Fuke Place,04/05/1906
Lloyd Todd,Raymond Harvey,1622 Jusik Center,04/08/1976
Lulu James,Inez Lopez,1658 Suza Key,03/08/2059
Celia Romero,Harriet Bennett,944 Orrap Park,03/28/2070
Katie Higgins,Caleb Sparks,1329 Mapzek Plaza,08/18/2040
Harry Glover,Augusta Christensen,1931 Venab Drive,12/22/1987
Tony Collier,Jay Ramirez,1811 Voha Street,04/16/2021
Jeff Lyons,Matthew Curtis,1899 Biifa Extension,11/05/2013
Harvey Schneider,Victor Torres,844 Jagce Manor,06/29/1919
Lloyd Malone,Brent McGuire,1640 Dape Loop,12/30/1922
Amelia Wilkins,Lillian Drake,939 Tunuw Point,10/15/1998
Alexander Fox,Mario Turner,1010 Boso Center,03/01/1939
Melvin Garza,Blake Barnett,853 Izli Plaza,06/06/1938
Harvey Hampton,Ruby Farmer,152 Katla Way,06/12/1984
Sam Wong,Jose Thornton,626 Amuek Lane,12/11/1989
Steve Todd,Lina Hardy,1710 Hamvu Center,06/24/2065
Nelle Pierce,Dominic Estrada,914 Milod Plaza,12/17/1908
Nelle Alvarado,Lottie Ortega,871 Hituko Road,12/01/1989
Essie Yates,Jennie Adkins,423 Giov River,01/02/2069
Agnes Carroll,Hettie Hale,1160 Kaafa Center,02/11/2036
Russell Patrick,Mark Marsh,553 Lage Trail,07/10/1992
Ruth Newton,Callie James,597 Baco Highway,07/06/1983
Mark Huff,Glen Hansen,1007 Fubwib Terrace,10/05/1994
Vincent Fleming,Allen Roy,1456 Abmup View,07/28/2060
Devin Cook,Bessie Ortega,120 Otvum Pike,08/11/1904
Craig Bush,Clayton Cole,391 Ditbo Way,03/25/1903
Pauline Watts,Justin Long,246 Humo Terrace,05/14/1956
Mable Martin,Carolyn McKinney,1974 Liano Highway,01/05/2060
Dollie Page,Brian Wheeler,1811 Ohevot Pike,12/21/2014
Hilda Wilkins,Marcus Morton,27 Pibe Grove,05/15/2065
Ethan Harvey,Todd Ingram,33 Beleju Square,05/23/1989
Julian Christensen,Tom Thornton,1388 Feile Grove,12/26/1929
Edith Black,Landon Boone,381 Kuduk Circle,07/27/2027
Ina Caldwell,Victor Cannon,452 Wijuh Highway,06/06/1972
Anthony Dean,Evan Malone,816 Sohar Parkway,05/08/1968
Bertha Cole,Cornelia Hart,1341 Teljo Pike,07/28/2064
Jessie Holland,Marvin Patrick,444 Bawos Park,11/23/2065
Ruth Olson,Bess Allen,1618 Doupi Road,05/05/1984
Gilbert Stewart,Keith Williamson,1449 Tapo Path,04/17/2035
Charlotte Hardy,Albert Williamson,97 Rutluw Mill,04/12/2005
Isabelle Beck,Keith Hampton,431 Vala Plaza,07/11/1971
Henrietta Saunders,Elmer Weber,630 Vune Junction,08/12/1980
Brett Ortega,Shawn Carr,1333 Kama Lane,06/27/1928
Max Jimenez,Beatrice Park,496 Daep Drive,10/07/1944
Christina Taylor,Mabelle Pittman,264 Ejca Lane,05/30/1966
Tillie Lee,Carolyn Warren,1997 Poog Grove,12/06/2054
Bertha Sanchez,Miguel Wheeler,549 Gotele Grove,07/06/1924
Mittie Cruz,Tony Ford,1917 Umetac Place,03/06/2019
Marion Beck,Matthew Bridges,1101 Poti Terrace,02/17/2012
Lester Silva,Thomas Fernandez,90 Huber Junction,10/18/2027
Victoria Yates,Gavin Richardson,872 Uzbe Key,10/01/1962
Genevieve Hamilton,Olga Massey,954 Ilifu Glen,10/02/1952
Charlotte Webster,Mable Russell,1499 Uposi Terrace,07/13/1992
Susie Walsh,Alfred Hill,1764 Nimo Path,01/31/1960
Maggie Carlson,Virginia Peters,731 Zehneh Grove,04/07/1902
Rebecca Evans,Lenora Swanson,1777 Tutom Manor,09/17/1965
Alex Austin,Bernice Webb,601 Fusuhi Turnpike,05/09/2011
Jayden Wolfe,Bess Barber,1258 Fuuji Lane,11/28/2006
Trevor Waters,Eliza Pope,305 Tigi Place,10/31/1909
Eula Zimmerman,Jacob Douglas,1380 Dorwi River,09/07/1972
Flora Baker,Austin Holland,345 Urfe Extension,08/11/1960
Larry Klein,Bettie Gonzalez,1418 Jussep Pass,11/18/2066
Minnie Norris,Devin Bell,108 Ojibu Center,12/08/1916
Joshua Christensen,Lenora Barnett,1316 Vorla Circle,06/08/2060
Herbert Brown,Lillie Adkins,720 Dipiw Circle,06/22/2015
Lawrence Underwood,Nina Robbins,1733 Famose Drive,05/26/1957
Lura Moss,Lester George,1298 Vohfop Manor,09/13/1900
Claudia French,Marian Rivera,1503 Mojnav Park,11/17/1964
Earl Lucas,Lela Walton,1240 Tanfec Grove,02/09/2003
Rose Benson,Catherine Reyes,756 Ajoca Glen,08/03/1969
Ricardo Knight,Max Barber,350 Balan Terrace,09/24/1904
Dustin Little,Rena Hart,1248 Oguzas Path,10/14/1960
Myrtle Roy,Fred Abbott,631 Kefje Street,05/14/1945
Phillip Gregory,Rhoda Walters,1460 Letga Path,01/18/2019
Francis Carson,Bertie Baker,1877 Peko Highway,03/14/2045
Barry Bailey,Helena Joseph,1747 Sebe Turnpike,11/21/2029
Cornelia Erickson,Nelle Tate,1512 Erawal Pike,12/06/2021
Jeanette Austin,Helena Carroll,455 Fibur Mill,07/27/2023
Louis Collins,Emma Vaughn,877 Fipi Manor,09/03/2015
Barry Barnett,Arthur Carson,13 Telu Junction,03/22/1941
Adam Sandoval,Cora Hammond,467 Penab Parkway,01/25/1989
Jared Bowers,Marc Frazier,1046 Ofsu Terrace,05/18/1907
Ricky Washington,Myra Barber,1521 Vejo Path,01/30/1945
Oscar Brooks,Adam Schultz,371 Gapug Manor,04/30/2056
Eugene Graves,Steve Walters,1889 Sagaw Drive,01/05/1945
Hulda Goodwin,Allie Ingram,1602 Bumur Junction,01/14/1969
Larry Love,Danny Snyder,1594 Binir Highway,11/02/1906
Eleanor Pearson,Henry Stanley,932 Majvab Court,01/23/1903
Violet Hernandez,Sally Wade,785 Kafa Turnpike,12/26/2008
Pearl Bowers,Edward Ward,550 Zadmog Highway,08/15/2012
Vernon Aguilar,Don Bishop,373 Gorhum Avenue,10/01/1937
Georgie Daniels,Lelia Benson,894 Cecan Key,12/14/1980
Caleb Greer,Willie Parker,158 Owaas Circle,05/20/1999
Frances Rios,Callie Burton,436 Rumic Road,03/22/2047
Jack Soto,Beulah Price,1941 Cenvec View,10/06/1936
Gilbert Tate,Bradley Frazier,1753 Emivol Place,02/28/1996
Herbert Copeland,Laura Benson,958 Lita Highway,06/15/2025
Irene Jefferson,Norman Austin,265 Fijo Extension,01/18/2026
Mittie Reed,Johanna Quinn,43 Hijzip Avenue,12/05/1987
Lenora Anderson,Trevor Harmon,651 Becoh Avenue,06/20/2037
Alberta Quinn,Rosie Hayes,656 Liegu Terrace,06/29/1907
Hunter Gonzales,Ethan Rivera,886 Bahso River,02/21/1973
Angel Morales,Sam Morton,219 Jibifa Heights,03/03/1941
Leroy Cortez,Isaac Gordon,1706 Ipowog Highway,11/01/1911
Brent Morton,Anne Chambers,1587 Gaca Glen,04/25/2021
Teresa Kennedy,Todd Figueroa,1487 Igomiz Manor,09/11/1925
Nellie Mendez,Cornelia Gibson,888 Upaje Extension,08/12/2004
Cornelia Ruiz,Ethan Pittman,1562 Nibvij View,05/03/1952
Lela Young,Lettie Butler,1697 Vikfi Extension,11/25/2006
Hannah George,Leon Stewart,567 Wuhab Extension,05/03/2024
Rosa Turner,Alejandro Bailey,9 Jeji Path,02/06/1980
Sean Moss,Jeremy Nunez,1698 Rudti Terrace,06/10/2049
Nannie Terry,Victor Lowe,815 Vajfo Glen,12/15/1993
Lilly Gonzales,Ophelia Porter,902 Muafu Junction,02/10/1908
Garrett Harrington,Peter Green,659 Wilis Pass,07/27/2070
Sophie McCoy,Henry Rivera,1318 Tohnul Terrace,08/22/2051
Bertha Tyler,Olga Drake,1310 Huka View,06/11/2058
Maud Matthews,Vincent Cain,1175 Unmi Loop,01/28/1984
Harriet Huff,Lucy Bryant,581 Jujij Pike,08/11/1920
Amanda Bowen,Susan Bryant,1114 Gigub Center,06/14/2046
Glen McBride,Julia Walters,1377 Mazce Pass,09/05/1974
Chris Carter,Steve Campbell,1644 Libij Turnpike,06/23/1902
Carlos Barber,Susie Massey,1276 Hovha Pass,12/27/2032
Birdie Swanson,Jeremy Hill,678 Pebmi Extension,08/19/2028
Alexander Williamson,Glenn Maxwell,1589 Wefi Drive,02/07/1953
Jennie Sherman,Lela Maxwell,830 Zedeh Way,01/28/2008
Douglas Williamson,Mario Harris,948 Vagi Glen,10/19/1940
Lloyd Howard,Dean Ingram,806 Fuivu Circle,12/27/2014
Tillie Perry,Philip Alvarez,20 Lahos View,12/25/2006
Alta Lloyd,Joshua Bryan,933 Siupe Highway,07/09/2043
Victoria Thomas,Tommy Ramos,754 Apke Boulevard,10/05/2060
Millie Sims,Amelia Carpenter,1559 Cisu Terrace,10/29/1957
Sam Richardson,Alta Fuller,1052 Hepako Way,04/06/2054
Derek Bass,Randall Manning,320 Bazpeg Path,05/08/2003
Kenneth Duncan,Ruth Wise,498 Ukpi Avenue,01/29/1915
Carolyn Burton,Allen Alvarado,1774 Corha Pike,08/24/2016
Samuel Mendoza,Carolyn Willis,1179 Tunli Pike,04/13/1961
Sam Kennedy,Bobby Stanley,1107 Lasoh Terrace,04/02/2006
Allen Moss,Noah Waters,1996 Hiuta Lane,04/24/2064
Earl Gibbs,Sam Fowler,1105 Ipve Heights,03/01/2001
Harriet Simon,Elmer Thomas,1784 Lotbu Turnpike,01/05/1965
Francis McDaniel,Clarence Cain,941 Ilolig Turnpike,01/21/1939
Edwin Alexander,Alta Thompson,526 Mobun Junction,02/24/2040
Alvin Gonzalez,Minerva Luna,575 Gunuh Avenue,01/11/1989
Julian Harmon,Gene Massey,125 Ahiw Avenue,05/13/2048
Anne Collins,Jerome Stevens,1734 Evper Highway,06/20/2009
Jon Barrett,Gene Green,411 Ragim Loop,05/31/1986
Lenora Terry,Jacob Price,6 Jitpu Manor,02/28/1900
Gregory Anderson,Tony Osborne,1378 Acfel Center,11/08/2054
Francisco Robbins,Elmer Pope,1107 Ovewel Court,12/23/1926
Mark Ramirez,Rosa Potter,1340 Kuha Loop,09/08/1942
Violet Barker,Gussie Lucas,709 Kolu Street,07/12/1915
Olga James,Benjamin Hart,549 Sode Turnpike,11/29/2037
Jayden Nguyen,Violet Robinson,570 Buckin Ridge,03/18/1923
Peter Figueroa,Peter Bates,249 Risi Glen,02/12/2013
Hulda Bryant,Darrell Diaz,727 Maac Grove,08/25/1997
Francisco Simpson,Ella Martin,618 Woene Circle,09/24/1942
Maria Jenkins,Eleanor Stevenson,594 Tene Trail,01/30/2018
Hannah Francis,Daisy Allison,79 Konlem Path,06/25/1918
Jack Colon,Willie Hammond,1934 Dazif Parkway,09/09/1979
Leah Fitzgerald,Elva Newton,1467 Keuni Highway,09/01/2069
James Gibbs,Ricky James,1531 Luvwe Lane,01/04/1937
Oscar Copeland,Lida Brooks,1682 Nufe Loop,06/05/1999
Gene Davidson,Cora Malone,1269 Dober Extension,11/24/2062
Don Parker,Marc Larson,828 Dagroh Avenue,01/06/2014
Sophie Larson,Gary Holmes,1967 Naewi Court,06/05/2043
Zachary Rhodes,Claudia McKenzie,1913 Rozdos Trail,04/21/1966
Madge Allen,Ella Alexander,1702 Azdu Drive,03/07/2012
Bessie Hart,Zachary Owen,646 Gojug Avenue,11/07/2031
Irene Wolfe,Franklin Jordan,822 Zepin Highway,02/22/2069
Scott Moody,Annie Cross,833 Degel Place,07/15/2064
Susan Spencer,Alvin Meyer,1020 Sicciv Way,04/21/1999
Esther McKenzie,Evan Bowman,1830 Uloma Turnpike,09/08/2018
Earl Jordan,Katharine Lawson,166 Degpez Park,06/25/2022
Rosalie Gray,Seth Sparks,448 Zuvgi Terrace,02/15/1914
Miguel Sullivan,Rosie Moran,1211 Repop Manor,10/13/1984
Lula Jordan,Estella Conner,881 Tiwi Pike,12/03/1973
Rosalie Peters,Juan Watkins,1690 Utve Grove,08/03/2050
Seth Moreno,Eunice Daniel,782 Ruwaz Trail,04/02/1947
Chris Brady,Scott Murphy,841 Sadam Road,11/29/1920
Marcus Alvarado,Ethan Jacobs,1826 Suko Plaza,05/10/2024
Henrietta Dawson,Leo Pearson,453 Lowtev Plaza,02/22/1998
Gregory Conner,Rosa Conner,194 Wugci Center,07/12/1971
Antonio Ruiz,Mark White,644 Ukidew Junction,10/08/1988
Celia Vargas,Madge Gibbs,1845 Tomti Glen,05/17/2032
Nicholas Murray,Evan Frazier,1488 Ehijor Glen,12/09/1962
Augusta Bridges,Ida Warren,33 Dumof Place,12/26/2056
Charlotte Marsh,Shane Cruz,241 Teki Parkway,11/25/2062
Rebecca Sims,Olga Nash,345 Nofi Parkway,09/01/2025
Kate Fuller,Leroy Simpson,1938 Wufve Pike,01/31/1910
Elmer Ellis,Mario Meyer,1982 Tovna View,12/10/1939
Arthur Waters,Isaiah Black,1837 Mahzic Junction,10/15/1915
Madge Silva,Christopher Wilkins,1102 Bujin Pass,05/13/1974
Erik Bass,Albert Wilson,1766 Duwape Center,09/09/1955
